,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Combined,Outlet_Age
364,1138,17.7,0,0.153741385,4,182.6292,4,1985,2,0,0,182.4292,1,28
851,1138,17.7,0,0.146973462,4,184.1292,0,1998,2,2,0,547.2876,1,15
2653,1138,17.7,0,0.088305201,4,182.3292,2,2007,2,1,1,4195.8716,1,6
2980,1138,17.7,0,0.087791917,4,180.6292,6,2004,2,1,1,3101.2964,1,9
3495,1138,17.7,0,0.087986599,4,181.4292,7,2002,2,1,1,2918.8672,1,11
7182,1138,17.7,0,0.08738330400000001,4,180.4292,5,1985,1,2,3,4013.4424,1,28
7506,1138,17.7,0,0.09316883828571429,4,182.5292,1,1987,0,2,1,2736.438,1,26
1074,579,16.5,1,0.07052584775,0,96.2068,8,1997,2,0,1,3013.4108,1,16
2362,579,16.5,1,0.093846532,0,95.7068,6,2004,2,1,1,1069.2748,1,9
3056,579,16.5,1,0.094246644,0,98.9068,3,2009,1,2,2,1749.7224,1,4
8441,579,16.5,1,0.094010215,0,95.2068,9,1999,1,0,1,777.6544,1,14
256,1077,8.5,0,0.098438394,3,51.1324,2,2007,2,1,1,259.66200000000003,1,6
1141,1077,8.5,0,0.097866209,3,51.1324,6,2004,2,1,1,1350.2424,1,9
2190,1077,8.5,0,0.098283459,3,51.3324,3,2009,1,2,2,934.7832,1,4
3928,1077,8.5,0,0.097410707,3,52.7324,5,1985,1,2,3,2492.7552,1,28
3978,1077,8.5,0,0.098036903,3,51.5324,9,1999,1,0,1,882.8508,1,14
6499,1077,8.5,0,0.098083231,3,50.3324,7,2002,2,1,1,675.1212,1,11
6587,1077,8.5,0,0.16383895099999998,3,51.3324,0,1998,2,2,0,311.5944,1,15
7029,1077,8.5,0,0.097803261,3,50.5324,1,1987,0,2,1,882.8508,1,26
8025,1077,8.5,0,0.17138350600000002,3,50.5324,4,1985,2,0,0,207.7296,1,28
8032,1077,8.5,0,0.097884718,3,52.5324,8,1997,2,0,1,1194.4452,1,16
147,1274,17.6,0,0.082316506,8,160.692,6,2004,2,1,1,1597.92,2,9
2039,1274,17.6,0,0.137807013,8,161.792,0,1998,2,2,0,159.792,2,15
2443,1274,17.6,0,0.08226356,8,160.49200000000005,1,1987,0,2,1,1278.336,2,26
3303,1274,17.6,0,0.082797778,8,161.49200000000005,2,2007,2,1,1,3515.4240000000004,2,6
3321,1274,17.6,0,0.081933378,8,161.49200000000005,5,1985,1,2,3,6391.68,2,28
269,635,15.7,0,0.045166237000000005,5,178.666,1,1987,0,2,1,2516.724,1,26
1064,635,15.7,0,0.075661985,5,181.366,0,1998,2,2,0,179.766,1,15
2015,635,15.7,0,0.079146113,5,181.466,4,1985,2,0,0,179.766,1,28
3560,635,15.7,0,0.045295529,5,181.366,7,2002,2,1,1,1977.426,1,11
4510,635,15.7,0,0.045203854,5,180.266,8,1997,2,0,1,1617.894,1,16
7224,635,15.7,0,0.045274134,5,177.96599999999995,9,1999,1,0,1,3415.554,1,14
2438,475,8.51,1,0.07833908099999999,13,172.9422,1,1987,0,2,1,1379.5376,1,26
4628,475,8.51,1,0.078526225,13,173.5422,9,1999,1,0,1,5000.8238,1,14
5464,475,8.51,1,0.07802465,13,171.4422,5,1985,1,2,3,3448.844,1,28
3468,1553,15.0,0,0.071516201,8,127.7362,7,2002,2,1,1,1761.7068,2,11
4528,1553,15.0,0,0.071371458,8,125.2362,8,1997,2,0,1,1384.1982,2,16
7108,1553,15.0,0,0.07131206400000001,8,125.7362,1,1987,0,2,1,3020.0688,2,26
8054,1553,15.0,0,0.119461188,8,126.3362,0,1998,2,2,0,503.3448,2,15
897,1221,12.5,1,0.109459733,6,84.1592,5,1985,1,2,3,1320.9472,1,28
1677,1221,12.5,1,0.109971578,6,82.7592,6,2004,2,1,1,577.9144,1,9
3342,1221,12.5,1,0.110614538,6,80.6592,2,2007,2,1,1,1651.184,1,6
3654,1221,12.5,1,0.110215444,6,81.8592,7,2002,2,1,1,1238.388,1,11
6026,1221,12.5,1,0.110163385,6,83.6592,9,1999,1,0,1,1320.9472,1,14
7148,1221,12.5,1,0.09433221728571428,6,80.8592,0,1998,2,2,0,82.5592,1,15
7917,1221,12.5,1,0.109900843,6,83.0592,1,1987,0,2,1,743.0328,1,26
577,31,15.35,0,0.07326933599999999,14,92.112,6,2004,2,1,1,1118.544,0,9
5532,31,15.35,0,0.073397129,14,91.912,9,1999,1,0,1,2609.936,0,14
6256,31,15.35,0,0.073283193,14,91.812,8,1997,2,0,1,1771.0279999999998,0,16
7352,31,15.35,0,0.073697713,14,91.912,2,2007,2,1,1,559.2719999999998,0,6
8190,31,15.35,0,0.07292831599999999,14,94.412,5,1985,1,2,3,1304.968,0,28
44,611,12.15,1,0.042277867,3,126.5046,1,1987,0,2,1,373.5138,1,26
167,611,12.15,1,0.042485444,3,125.0046,3,2009,1,2,2,1743.0644,1,4
6283,611,12.15,1,0.042552418,3,123.5046,2,2007,2,1,1,1743.0644,1,6
8420,611,12.15,1,0.042378864,3,125.4046,9,1999,1,0,1,1867.569,1,14
218,1129,17.2,0,0.15616879,10,160.6578,1,1987,0,2,1,3690.5294,1,26
1157,1129,17.2,0,0.156269303,10,159.6578,6,2004,2,1,1,3048.6982,1,9
4514,1129,17.2,0,0.156298858,10,162.1578,8,1997,2,0,1,1283.6624,1,16
7575,1129,17.2,0,0.155541973,10,159.7578,5,1985,1,2,3,641.8312,1,28
8294,1129,17.2,0,0.156935553,10,160.6578,3,2009,1,2,2,1925.4936,1,4
8443,1129,17.2,0,0.156541861,10,162.4578,9,1999,1,0,1,2888.2404,1,14
868,1279,6.235,0,0.119345629,9,261.991,2,2007,2,1,1,2366.919,2,6
1026,1279,6.235,0,0.118651919,9,263.991,6,2004,2,1,1,4207.856,2,9
1504,1279,6.235,0,0.118099673,9,262.891,5,1985,1,2,3,5522.811,2,28
1941,1279,6.235,0,0.207783483,9,262.291,4,1985,2,0,0,525.982,2,28
2380,1279,6.235,0,0.118858866,9,263.291,9,1999,1,0,1,3418.883,2,14
3031,1279,6.235,0,0.118915034,9,264.791,7,2002,2,1,1,2103.928,2,11
4618,1279,6.235,0,0.119157788,9,263.791,3,2009,1,2,2,2103.928,2,4
7172,1279,6.235,0,0.118674359,9,261.691,8,1997,2,0,1,3155.8920000000007,2,16
807,196,16.25,0,0.057485328,6,126.2046,9,1999,1,0,1,1867.569,1,14
3966,196,16.25,0,0.057396092,6,125.8046,8,1997,2,0,1,747.0276,1,16
5858,196,16.25,0,0.05738523900000001,6,126.2046,6,2004,2,1,1,1369.5506,1,9
7414,196,16.25,0,0.05762989900000001,6,123.9046,3,2009,1,2,2,1120.5414,1,4
8405,196,16.25,0,0.100493148,6,123.1046,4,1985,2,0,0,124.5046,1,28
853,529,13.6,1,0.049349121,5,108.6912,5,1985,1,2,3,3057.3536,1,28
4575,529,13.6,1,0.049579883,5,110.0912,6,2004,2,1,1,1965.4416,1,9
8389,529,13.6,1,0.049547993,5,108.6912,1,1987,0,2,1,2402.2064,1,26
183,1008,5.75,1,0.075107656,4,112.8176,1,1987,0,2,1,1374.2112,1,26
679,1008,5.75,1,0.075595405,4,114.7176,2,2007,2,1,1,1259.6936,1,6
4383,1008,5.75,1,0.07480619599999999,4,112.9176,5,1985,1,2,3,3435.528,1,28
5758,1008,5.75,1,0.075322658,4,116.3176,7,2002,2,1,1,2519.3872,1,11
7481,1008,5.75,1,0.07528708099999999,4,115.3176,9,1999,1,0,1,572.5880000000002,1,14
777,557,5.46,1,0.03217132,3,184.824,6,2004,2,1,1,4287.752,1,9
2306,557,5.46,1,0.032359413,3,187.424,2,2007,2,1,1,3169.208,1,6
2607,557,5.46,1,0.032242661,3,187.624,7,2002,2,1,1,3542.056,1,11
2951,557,5.46,1,0.032308482,3,185.224,3,2009,1,2,2,2423.512,1,4
4415,557,5.46,1,0.032177405,3,185.424,8,1997,2,0,1,5219.872,1,16
5448,557,5.46,1,0.056338482,3,184.624,4,1985,2,0,0,1304.968,1,28
5874,557,5.46,1,0.032227432,3,186.824,9,1999,1,0,1,1864.24,1,14
2649,1487,14.5,0,0.089778187,8,158.4604,8,1997,2,0,1,2693.8268,2,16
3038,1487,14.5,0,0.08991776900000001,8,160.3604,9,1999,1,0,1,2852.2872,2,14
3452,1487,14.5,0,0.08970347599999999,8,158.3604,1,1987,0,2,1,1109.2228,2,26
4931,1487,14.5,0,0.08996026,8,159.5604,7,2002,2,1,1,1426.1436,2,11
5281,1487,14.5,0,0.08934343300000001,8,157.3604,5,1985,1,2,3,6021.4952,2,28
5465,1487,14.5,0,0.157190017,8,156.8604,4,1985,2,0,0,316.9208,2,28
6514,1487,14.5,0,0.089761211,8,159.4604,6,2004,2,1,1,2376.906,2,9
8026,1487,14.5,0,0.090286009,8,159.9604,2,2007,2,1,1,2218.4456,2,6
255,777,6.4,0,0.148392623,5,41.5796,4,1985,2,0,0,41.2796,1,28
5368,777,6.4,0,0.14186016099999998,5,41.0796,0,1998,2,2,0,41.2796,1,15
5706,777,6.4,0,0.084885375,5,39.2796,9,1999,1,0,1,701.7532,1,14
1001,1249,8.185,0,0.038789271,6,115.6808,9,1999,1,0,1,703.0848,1,14
3293,1249,8.185,0,0.06780958,6,118.1808,4,1985,2,0,0,234.3616,1,28
3463,1249,8.185,0,0.038721734,6,115.8808,6,2004,2,1,1,1523.3504,1,9
4117,1249,8.185,0,0.064824502,6,116.0808,0,1998,2,2,0,234.3616,1,15
4212,1249,8.185,0,0.038729057,6,117.1808,8,1997,2,0,1,1874.8928,1,16
7821,1249,8.185,0,0.038948125,6,115.4808,2,2007,2,1,1,820.2656,1,6
