,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Type_Combined,Outlet_Age
1487,1446,20.35,0,0.065726925,9,128.6678,0,1998,2,2,0,2,15
2292,1446,20.35,0,0.03926078,9,127.9678,6,2004,2,1,1,2,9
3402,1446,20.35,0,0.039268205,9,128.4678,8,1997,2,0,1,2,16
4695,1446,20.35,0,0.039347842,9,125.2678,7,2002,2,1,1,2,11
1297,423,14.7,0,0.071948252,6,48.8034,5,1985,1,2,3,1,28
649,336,9.195,0,0.080820187,13,183.3634,4,1985,2,0,0,1,28
1685,336,9.195,0,0.107801614,13,182.3634,1,1987,0,2,1,1,26
2028,336,9.195,0,0.107368929,13,183.0634,5,1985,1,2,3,1,28
2643,336,9.195,0,0.108110205,13,181.5634,7,2002,2,1,1,1,11
782,137,11.8,0,0.054144012000000005,7,75.8012,6,2004,2,1,1,0,9
2446,137,11.8,0,0.053892008,7,76.6012,5,1985,1,2,3,0,28
3838,137,11.8,0,0.054154252,7,76.9012,8,1997,2,0,1,0,16
4762,137,11.8,0,0.054109186,7,74.7012,1,1987,0,2,1,0,26
5599,137,11.8,0,0.05437485400000001,7,75.5012,3,2009,1,2,2,0,4
267,1528,20.25,0,0.02610006,9,182.8976,2,2007,2,1,1,2,6
330,1528,20.25,0,0.045440802999999995,9,179.5976,4,1985,2,0,0,2,28
2099,1528,20.25,0,0.025993607999999998,9,179.3976,9,1999,1,0,1,2,14
3386,1528,20.25,0,0.02605898,9,179.6976,3,2009,1,2,2,2,4
4593,1528,20.25,0,0.025827577999999997,9,182.7976,5,1985,1,2,3,2,28
1634,1464,7.935,0,0.0,9,264.791,2,2007,2,1,1,2,6
2969,74,17.6,0,0.097612596,4,88.1856,3,2009,1,2,2,0,4
5184,74,17.6,0,0.097766473,4,86.6856,2,2007,2,1,1,0,6
5259,74,17.6,0,0.097216576,4,86.1856,8,1997,2,0,1,0,16
5396,74,17.6,0,0.097413734,4,88.0856,7,2002,2,1,1,0,11
90,671,19.35,1,0.021929096999999998,10,165.7816,7,2002,2,1,1,1,11
1985,671,19.35,1,0.065787291,10,169.7816,3,2009,1,2,2,1,4
5154,671,19.35,1,0.021929096999999998,10,168.8816,9,1999,1,0,1,1,14
582,1143,17.75,1,0.03770442,0,154.8656,5,1985,1,2,3,1,28
1213,1143,17.75,1,0.037856363999999997,0,154.3656,1,1987,0,2,1,1,26
2603,1143,17.75,1,0.037887894,0,154.6656,8,1997,2,0,1,1,16
3495,1143,17.75,1,0.037946798999999996,0,153.3656,9,1999,1,0,1,1,14
3764,1143,17.75,1,0.037964731,0,153.0656,7,2002,2,1,1,1,11
4951,1143,17.75,1,0.037880729,0,152.7656,6,2004,2,1,1,1,9
382,29,6.28,0,0.027861814,14,85.5198,2,2007,2,1,1,0,6
1233,29,6.28,0,0.048508058,14,86.1198,4,1985,2,0,0,0,28
4242,29,6.28,0,0.027705102000000002,14,88.0198,8,1997,2,0,1,0,16
4731,29,6.28,0,0.027817961000000002,14,85.8198,3,2009,1,2,2,0,4
4812,29,6.28,0,0.046372660999999996,14,88.5198,0,1998,2,2,0,0,15
565,429,14.35,1,0.090837986,5,232.7984,1,1987,0,2,1,1,26
4045,429,14.35,1,0.091427887,5,231.6984,2,2007,2,1,1,1,6
4451,429,14.35,1,0.152170799,5,231.9984,0,1998,2,2,0,1,15
627,233,9.3,0,0.028579933,0,195.9136,7,2002,2,1,1,1,11
3209,233,9.3,0,0.049938496,0,195.6136,4,1985,2,0,0,1,28
3511,233,9.3,0,0.028522089,0,195.0136,8,1997,2,0,1,1,16
4378,233,9.3,0,0.02838397,0,193.3136,5,1985,1,2,3,1,28
938,521,8.895,1,0.14783322,13,121.273,0,1998,2,2,0,1,15
977,521,8.895,1,0.088322179,13,124.273,8,1997,2,0,1,1,16
1039,521,8.895,1,0.088501299,13,124.37299999999999,7,2002,2,1,1,1,11
1195,521,8.895,1,0.154640734,13,124.273,4,1985,2,0,0,1,28
3410,521,8.895,1,0.088459496,13,124.87299999999999,9,1999,1,0,1,1,14
5132,521,8.895,1,0.08824867900000001,13,123.273,1,1987,0,2,1,1,26
3554,545,6.98,0,0.041169697000000005,3,83.2934,9,1999,1,0,1,1,14
3688,545,6.98,0,0.020584848500000003,3,83.8934,5,1985,1,2,3,1,28
1817,947,4.92,0,0.046048229,0,200.0084,7,2002,2,1,1,1,11
3016,947,4.92,0,0.0230241145,0,200.3084,6,2004,2,1,1,1,9
1921,147,7.55,1,0.030944625,6,123.5072,8,1997,2,0,1,1,16
2615,147,7.55,1,0.03111966,6,122.6072,2,2007,2,1,1,1,6
5600,147,7.55,1,0.054180044000000004,6,123.5072,4,1985,2,0,0,1,28
1774,1489,5.11,0,0.03198113875,9,164.12099999999998,9,1999,1,0,1,2,14
2515,1489,5.11,0,0.05837308,9,161.221,0,1998,2,2,0,2,15
2590,1489,5.11,0,0.034845667999999996,9,164.62099999999998,1,1987,0,2,1,2,26
4785,1489,5.11,0,0.034705807000000005,9,163.721,5,1985,1,2,3,2,28
