Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCQ42,OUT010,277.1079320616463
NCQ42,OUT035,2118.6339810627496
NCQ42,OUT046,2164.14878322899
NCQ42,OUT045,1842.0255971183171
FDG57,OUT027,1394.4597666196987
FDE34,OUT019,470.7872485496435
FDE34,OUT013,3233.359669674745
FDE34,OUT027,5128.799789543406
FDE34,OUT045,2793.7352948129187
DRO59,OUT035,1305.028620231223
DRO59,OUT027,2158.647591842869
DRO59,OUT046,1293.3665585773674
DRO59,OUT013,1110.6182185282507
DRO59,OUT018,1048.0354108959443
NCY30,OUT017,3192.6125747164892
NCY30,OUT019,452.8642801897375
NCY30,OUT049,3082.3541943165615
NCY30,OUT018,2601.66580263423
NCY30,OUT027,5002.002566005728
NCS06,OUT017,4242.0631133535335
DRH51,OUT018,1265.2845181135235
DRH51,OUT017,1434.1314070780566
DRH51,OUT046,1413.6018463102714
DRH51,OUT045,1372.8255503673074
FDN39,OUT045,2696.58968952464
FDN39,OUT018,2383.4238611060496
FDN39,OUT049,2886.852218774838
FDX48,OUT027,3966.868576899522
FDX48,OUT013,2383.992552840426
FDX48,OUT046,2401.956603606065
FDX48,OUT049,2512.3697535213123
FDX48,OUT045,2492.9693756077554
FDX48,OUT035,2635.746267375191
DRE13,OUT017,1402.2723379186878
DRE13,OUT019,237.0768525345531
DRE13,OUT046,1441.9953676721673
DRE13,OUT018,1200.8448126094404
DRE13,OUT010,201.5684298716522
FDH05,OUT013,3818.550222359218
FDH05,OUT017,3918.4036762535206
FDH05,OUT010,565.1388943147216
FDB60,OUT045,2848.800435564369
FDB60,OUT019,506.1459474335734
FDB60,OUT046,3222.8998582463378
FDB60,OUT027,5228.857888441757
FDJ33,OUT010,268.17104277009787
FDJ33,OUT046,2078.2858177988383
FDJ33,OUT045,1859.780291173305
FDJ33,OUT019,318.75192605819393
FDJ33,OUT049,2076.0248726603872
FDJ33,OUT013,2060.3816185786127
FDK14,OUT049,1305.2787386993152
FDK14,OUT027,2320.719131664576
FDT48,OUT045,2935.7111814852647
FDT48,OUT035,3426.977717935363
FDA07,OUT046,2169.942751033481
FDA07,OUT017,2123.584264723509
FDA07,OUT019,330.37598217869527
NCU30,OUT049,2753.3394175708813
NCU30,OUT010,370.6670078805383
NCU30,OUT013,2519.701834844594
NCU30,OUT027,4280.382257736815
FDV16,OUT027,1146.5778605538715
FDV16,OUT045,624.3957861997714
FDV22,OUT035,2779.975239560008
FDV22,OUT046,2504.4103914371344
FDV22,OUT027,4126.248543907748
FDU08,OUT046,1627.8946369957132
FDU08,OUT049,1599.3064836184674
FDU08,OUT017,1643.895067755965
FDU08,OUT045,1492.6502888141058
FDA55,OUT035,3907.908455155915
FDA55,OUT017,4015.2807100353693
FDA55,OUT046,3670.8578310820517
FDA55,OUT045,3616.536861322186
FDA55,OUT049,3782.591265032053
NCM41,OUT027,2524.197346985787
NCM41,OUT035,1517.566696570859
NCM41,OUT017,1458.6990188924765
NCM41,OUT046,1460.1151745213554
FDR59,OUT018,3576.9973515426286
FDZ12,OUT027,3611.116778799805
FDZ12,OUT035,2308.708879899669
FDZ12,OUT017,2496.489842314305
FDZ12,OUT045,2206.1558911047546
FDR28,OUT010,377.28783757656487
FDR28,OUT027,4345.347243236665
FDR28,OUT013,2496.639850985685
FDR28,OUT045,2651.067897129623
DRI59,OUT049,3920.7752353549854
DRI59,OUT018,3028.677281902641
DRI59,OUT045,3618.7611476247635
DRI59,OUT035,3981.7754023586617
DRI59,OUT013,3713.1019195269787
DRI59,OUT046,3569.5205956791224
FDH21,OUT017,2594.438362625342
FDH21,OUT018,2383.746218965973
FDH21,OUT046,2465.5430243697947
FDB46,OUT017,3795.8505657497008
FDB46,OUT027,5531.302882475234
FDB46,OUT046,3410.3429687942103
FDB46,OUT013,3359.5618125204883
FDN10,OUT049,1980.0148316079521
FDN10,OUT046,2015.0324968916439
FDN10,OUT013,1919.4050024003147
FDN10,OUT019,305.5578595747873
FDI52,OUT027,3207.4335997938456
FDI52,OUT046,2093.4973016296617
NCZ18,OUT013,3934.5303483796747
NCZ18,OUT027,5790.440074137142
NCS17,OUT046,1572.9714668965469
NCS17,OUT045,1461.0922217461268
NCS17,OUT035,1637.4546506989823
FDF44,OUT010,297.0373878530458
FDF44,OUT013,2045.868200434197
FDF44,OUT017,2164.1421777807914
FDF44,OUT046,2189.723300102772
NCE07,OUT019,358.40734689852644
NCE07,OUT013,2517.4756058116172
NCE07,OUT049,2362.2071284386234
FDH14,OUT027,3716.694703406791
FDH14,OUT018,1815.6128461616217
FDH14,OUT035,2293.440030551613
FDU50,OUT046,1897.7571838043796
FDU50,OUT035,1851.8448177437856
FDU50,OUT018,1580.2192105042936
FDN50,OUT045,1481.184013314051
FDN50,OUT046,1558.72233947799
FDN50,OUT019,261.52673267723435
FDN50,OUT017,1482.187514569276
FDN50,OUT035,1598.2259624652568
FDN50,OUT013,1450.7470948996436
FDN50,OUT010,211.8653844528966
FDC08,OUT035,3883.2221598182264
FDC08,OUT018,3321.766364975999
FDC08,OUT045,3667.905348859237
FDV19,OUT027,4117.189980593073
FDV19,OUT010,368.4364400930343
FDV19,OUT045,2597.3603720874407
FDJ44,OUT018,2552.7552990816234
NCU17,OUT019,266.16433350317743
NCU17,OUT046,1615.3917299338332
FDJ07,OUT013,1896.0059274760604
FDJ07,OUT035,2023.388499449273
FDJ07,OUT046,2099.6643224000536
FDJ07,OUT045,1785.4415819991796
FDJ07,OUT049,1909.9233100621248
FDW35,OUT013,688.3997566971173
FDW35,OUT027,1173.8521663721417
FDW35,OUT046,734.3926556812968
FDJ57,OUT027,4991.614195787361
FDJ57,OUT013,3209.0941449026873
FDJ57,OUT049,3298.2182787101956
NCM31,OUT049,2409.35911990006
NCM31,OUT013,2453.015664628649
NCM31,OUT035,2340.3166658172822
NCM31,OUT027,3565.210355499603
NCM31,OUT010,345.36925013018606
FDC11,OUT035,1431.0075444343395
FDC11,OUT045,1399.4146615791492
FDC11,OUT049,1323.9162947239467
FDC11,OUT017,1466.1035381743857
FDW22,OUT046,3505.4473238333944
FDW22,OUT045,3511.973418979089
FDW22,OUT035,3949.9207526219507
FDW22,OUT017,4083.7382701697493
FDW22,OUT013,3661.1910611884796
FDR57,OUT017,2535.7721688143056
FDR57,OUT045,2529.493496195998
FDR57,OUT027,4126.872887901339
FDR57,OUT018,2329.636811874932
FDR57,OUT049,2732.42708676376
FDR57,OUT013,2461.780682516078
FDP46,OUT049,1348.1772209997475
FDP46,OUT027,2520.063577820425
FDP46,OUT045,1410.2896936620764
FDP46,OUT017,1404.827733277908
FDP46,OUT018,1265.2038381562807
NCB18,OUT017,1396.9538327565742
FDA40,OUT045,1389.0056856590024
FDA40,OUT027,2465.5490629590263
FDA40,OUT010,189.72159257564658
FDA40,OUT018,1264.945068842959
FDT37,OUT018,3409.760290591056
FDT37,OUT049,4228.922580634745
FDT37,OUT027,6178.829509041397
FDT37,OUT010,689.0187162154382
FDT37,OUT046,3742.4697763935583
FDA21,OUT027,5130.555048220908
FDA21,OUT017,3236.2231794987
FDU57,OUT019,331.92164166755487
FDU57,OUT018,2110.961341909311
FDU57,OUT049,2578.730498017257
FDU57,OUT035,2550.434010755274
FDU57,OUT017,2521.324504385214
FDL14,OUT045,2546.537033599613
FDL14,OUT027,3961.4682658207
FDL14,OUT018,2370.0151905687035
FDL14,OUT013,2401.8814514211267
FDL14,OUT017,2514.3878278775255
FDL14,OUT019,384.9446098345758
NCQ43,OUT010,236.3893858999221
NCQ43,OUT035,1747.275704324056
FDU33,OUT045,755.7658880955729
FDU33,OUT013,707.2350184612327
FDU33,OUT046,820.3308658918561
FDU33,OUT017,763.8297488655411
FDK44,OUT049,3102.6586754178365
FDK44,OUT013,3025.594141000165
FDK44,OUT018,2514.3074179521354
FDK44,OUT019,442.8296905371649
FDD45,OUT019,269.8411261973763
FDD45,OUT049,1436.6776591471744
FDD45,OUT010,204.26695513746915
FDD45,OUT046,1535.649458130881
FDD45,OUT027,2734.3686299984624
FDD45,OUT017,1597.3530718986526
FDW51,OUT035,3717.184323024032
FDW51,OUT013,3335.4036884916127
FDW51,OUT045,3351.428750740406
NCL41,OUT027,1084.5769664737886
NCL41,OUT013,627.7983011303588
NCL41,OUT045,631.1962116628104
FDJ53,OUT045,1825.0847855813013
FDJ53,OUT013,1992.2177295823512
FDJ53,OUT010,266.88466260697265
FDJ53,OUT019,303.3477182744909
NCR54,OUT049,3369.6097813342667
NCR54,OUT045,2914.980929038879
NCR54,OUT018,3012.1782852066895
NCR54,OUT027,5359.545242609619
FDU23,OUT017,2807.793929224855
DRL35,OUT018,549.5721242067491
DRL35,OUT046,734.6183403659155
DRN37,OUT046,2651.817829352982
DRN37,OUT045,2651.8506109497407
DRN37,OUT019,391.52773527410636
DRN37,OUT027,4164.037618611728
FDF52,OUT046,2958.568600930816
FDQ04,OUT027,1197.184134406432
FDQ04,OUT035,717.2628478523931
FDQ04,OUT013,703.4129411534999
FDQ04,OUT017,705.228647845318
FDQ04,OUT018,554.8426384971859
FDQ04,OUT045,683.5053799147199
FDQ04,OUT046,717.9431223599211
FDD09,OUT035,3194.4285467215195
FDD09,OUT010,455.65801938310034
FDD09,OUT049,3106.2189881968748
FDK50,OUT019,422.0420567823608
FDK50,OUT049,2758.0382861577937
FDK50,OUT045,2643.9541373670027
FDK50,OUT046,2563.7886610152045
FDK50,OUT027,4207.029064054344
FDO40,OUT045,2348.7969184710073
FDO40,OUT013,2382.791089252646
FDO40,OUT035,2638.5788771448147
DRK35,OUT018,509.9772185076498
DRK35,OUT013,656.1753824701534
DRZ24,OUT013,1988.1871299041359
DRZ24,OUT018,1787.5633462650203
DRZ24,OUT010,263.16707582759614
DRZ24,OUT019,305.2248374188682
DRZ24,OUT035,1980.121108878803
DRK23,OUT045,3827.568409776309
DRK23,OUT019,605.1222241435173
DRK23,OUT035,4236.294105228241
DRK23,OUT046,3864.4230299860924
DRL37,OUT010,125.89356331474299
DRL37,OUT046,739.436987985254
FDR13,OUT017,2000.0345003328455
FDR13,OUT045,1797.0957752278912
FDR13,OUT027,3028.3879477040846
FDR13,OUT035,2002.9454848364603
FDR13,OUT046,2083.472267016306
FDR13,OUT019,305.9550077820623
FDR13,OUT010,246.6010511187029
DRF03,OUT017,632.6651177810973
FDZ48,OUT010,242.49312711275718
FDZ48,OUT035,1801.4464688696626
FDZ48,OUT013,1863.5587631372953
FDZ48,OUT027,3019.210617898485
FDY13,OUT046,1271.490495106261
FDY13,OUT027,2176.13753709695
